species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Pomaderris precaria N.G.Walsh & Coates,Pomaderris precaria,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Pomaderris sericea N.A.Wakef.,Pomaderris sericea,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Pomaderris viridis N.G.Walsh,Pomaderris viridis,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium coalitum Kellermann & W.R.Barker,Spyridium coalitum,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium erymnocladum W.R.Barker,Spyridium erymnocladum,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium fontis-woodii Kellermann & W.R.Barker,Spyridium fontis-woodii,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium minutum Rye,Spyridium minutum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium montanum Rye,Spyridium montanum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium polycephalum (Turcz.) Rye,Spyridium polycephalum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium scabridum (Tate) Kellermann & W.R.Barker,Spyridium scabridum,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Spyridium villosum (Turcz.) Benth.,Spyridium villosum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum arens K.R.Thiele,Stenanthemum arens,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum argenteum A.R.Bean,Stenanthemum argenteum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum complicatum (F.Muell.) Rye,Stenanthemum complicatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum divaricatum (Benth.) Rye,Stenanthemum divaricatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum liberum Rye,Stenanthemum liberum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum limitatum Rye,Stenanthemum limitatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum mediale Rye,Stenanthemum mediale,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum newbeyi Rye,Stenanthemum newbeyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum patens Rye,Stenanthemum patens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum poicilum Rye,Stenanthemum poicilum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum radiatum Rye,Stenanthemum radiatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum sublineare Rye,Stenanthemum sublineare,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum tridentatum (Steud.) Reissek,Stenanthemum tridentatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Stenanthemum yorkense Rye,Stenanthemum yorkense,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Trymalium densiflorum Rye,Trymalium densiflorum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Trymalium litorale (Diels) Domin,Trymalium litorale,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Trymalium monospermum Rye,Trymalium monospermum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Trymalium spatulatum (Labill.) G.Don,Trymalium spatulatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Ziziphus quadrilocularis F.Muell.,Ziziphus quadrilocularis,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Ziziphus timoriensis DC.,Ziziphus timoriensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rhamnaceae
Aphanes pumila Rothm.,Aphanes pumila,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rosaceae
Potentilla nanopetala A.R.Bean,Potentilla nanopetala,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rosaceae
Dendrocnide corallodesme (Lauterb.) Chew,Dendrocnide corallodesme,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Urticaceae
Elatostema montanum Endl.,Elatostema montanum,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,Urticaceae
Parietaria australis (Nees) Blume,Parietaria australis,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Urticaceae
Pouzolzia hirta (Blume) Hassk.,Pouzolzia hirta,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Urticaceae
Urtica sykesii Grosse-Veldmann & Wiegend,Urtica sykesii,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Urticaceae
Spondias dulcis Parkinson,Spondias dulcis,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Anacardiaceae
Canarium indicum L.,Canarium indicum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Burseraceae
Aglaia brassii Merr. & L.M.Perry,Aglaia brassii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Meliaceae
Aglaia cooperae Pannell,Aglaia cooperae,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Meliaceae
Aglaia silvestris (M.Roem.) Merr.,Aglaia silvestris,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Meliaceae
Aglaia spectabilis (Miq.) S.S.Jain & Bennet,Aglaia spectabilis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Meliaceae
Acronychia trifoliolata Zoll. & Moritzi,Acronychia trifoliolata,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Asterolasia hyalina (Paul G.Wilson) Wege,Asterolasia hyalina,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia acanthoclada Paul G.Wilson,Boronia acanthoclada,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia anomala Duretto,Boronia anomala,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia barrettiorum Duretto,Boronia barrettiorum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia beeronensis Duretto,Boronia beeronensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia bella Duretto,Boronia bella,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia coriacea Paul G.Wilson,Boronia coriacea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
"Boronia cremnophila R.L.Barrett, M.D.Barrett & Duretto",Boronia cremnophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia defoliata F.Muell.,Boronia defoliata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia ericifolia Benth.,Boronia ericifolia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia foetida Duretto,Boronia foetida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia hoipolloi Duretto,Boronia hoipolloi,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia inconspicua Benth.,Boronia inconspicua,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
"Boronia interrex R.L.Barrett, M.D.Barrett & Duretto",Boronia interrex,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia jensziae Duretto,Boronia jensziae,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia kalumburuensis Duretto,Boronia kalumburuensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia marcoana R.L.Barrett & M.D.Barrett,Boronia marcoana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia minutipinna Duretto,Boronia minutipinna,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia montimulliganensis Duretto,Boronia montimulliganensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia pauciflora W.Fitzg.,Boronia pauciflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia squamipetala Duretto,Boronia squamipetala,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia suberosa Duretto,Boronia suberosa,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia tenuior Domin,Boronia tenuior,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia tetragona Paul G.Wilson,Boronia tetragona,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
"Boronia thedae R.L.Barrett, M.D.Barrett & Duretto",Boronia thedae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia westringioides Paul G.Wilson,Boronia westringioides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia yarrowmerensis Duretto,Boronia yarrowmerensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Boronia zeteticorum Duretto,Boronia zeteticorum,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Diplolaena cinerea Paul G.Wilson,Diplolaena cinerea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Drummondita calida (F.Muell.) Paul G.Wilson,Drummondita calida,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Drummondita rubriviridis R.A.Meissn.,Drummondita rubriviridis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Drummondita wilsonii Mollemans,Drummondita wilsonii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Glycosmis macrophylla (Blume) Miq.,Glycosmis macrophylla,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Leionema ceratogynum N.G.Walsh,Leionema ceratogynum,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Leionema scopulinum B.M.Horton & Crayn,Leionema scopulinum,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Leionema sympetalum (Paul G.Wilson) Paul G.Wilson,Leionema sympetalum,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Leionema westonii L.M.Copel. & I.Telford,Leionema westonii,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Medicosma heterophylla T.G.Hartley,Medicosma heterophylla,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Medicosma mulgraveana T.G.Hartley,Medicosma mulgraveana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Melicope contermina C.Moore & F.Muell.,Melicope contermina,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Melicope littoralis (Endl.) T.G.Hartley,Melicope littoralis,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Phebalium appressum Paul G.Wilson,Phebalium appressum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Phebalium brevifolium Paul G.Wilson,Phebalium brevifolium,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Phebalium clavatum C.A.Gardner,Phebalium clavatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Phebalium obovatum (Paul G.Wilson) Paul G.Wilson,Phebalium obovatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca acrolopha Paul G.Wilson,Philotheca acrolopha,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca coateana Paul G.Wilson,Philotheca coateana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca cuticularis Paul G.Wilson,Philotheca cuticularis,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca cymbiformis (Paul G.Wilson) Paul G.Wilson,Philotheca cymbiformis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca eremicola Paul G.Wilson,Philotheca eremicola,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca falcata (Paul G.Wilson) Paul G.Wilson,Philotheca falcata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Philotheca fitzgeraldii (C.R.P.Andrews) Paul G.Wilson,Philotheca fitzgeraldii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zanthoxylum parviflorum Benth.,Zanthoxylum parviflorum,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria boolbunda Duretto & P.I.Forst.,Zieria boolbunda,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria cephalophila Duretto & P.I.Forst.,Zieria cephalophila,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria distans Duretto & P.I.Forst.,Zieria distans,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria hydroscopica Duretto & P.I.Forst.,Zieria hydroscopica,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria inexpectata Duretto & P.I.Forst.,Zieria inexpectata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria tenuis Duretto & P.I.Forst.,Zieria tenuis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Zieria vagans Duretto & P.I.Forst.,Zieria vagans,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rutaceae
Alectryon repandodentatus Radlk.,Alectryon repandodentatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Arytera lineosquamulata H.Turner,Arytera lineosquamulata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Atalaya australiana Leenh.,Atalaya australiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Atalaya collina S.T.Reynolds,Atalaya collina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Atalaya oligoclada S.T.Reynolds,Atalaya oligoclada,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea barklyana (S.T.Reynolds) M.G.Harr.,Dodonaea barklyana,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea concinna Benth.,Dodonaea concinna,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea divaricata Benth.,Dodonaea divaricata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea ericoides Miq.,Dodonaea ericoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea glandulosa J.G.West,Dodonaea glandulosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea intricata J.G.West,Dodonaea intricata,not present,native,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea malvacea (Domin) M.G.Harr.,Dodonaea malvacea,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea scurra K.A.Sheph. & R.A.Meissn.,Dodonaea scurra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Dodonaea tepperi F.Muell. ex Tepper,Dodonaea tepperi,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Guioa comesperma Radlk.,Guioa comesperma,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Guioa sarcopterifructa Welzen,Guioa sarcopterifructa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Jagera javanica (Blume) Blume ex Kalkman,Jagera javanica,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Lepisanthes senegalensis (Juss. ex Poir.) Leenh.,Lepisanthes senegalensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Rhysotoechia florulenta S.T.Reynolds,Rhysotoechia florulenta,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Sarcopteryx acuminata S.T.Reynolds,Sarcopteryx acuminata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Serjania exarata Radlk.,Serjania exarata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Tristiropsis canarioides Boerl. ex Valeton,Tristiropsis canarioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sapindaceae
Cayratia pedata (Lam.) Gagnep.,Cayratia pedata,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vitaceae
Cissus aristata Blume,Cissus aristata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vitaceae
Tetrastigma pisicarpum (Zipp. ex Miq.) Planch.,Tetrastigma pisicarpum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vitaceae
Vitis flexuosa Thunb.,Vitis flexuosa,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vitaceae
Roepera flava (H.Eichler ex R.M.Barker) Beier & Thulin,Roepera flava,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera halophila (R.M.Barker) Beier & Thulin,Roepera halophila,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera humillima (M.Koch ex Tate) Beier & Thulin,Roepera humillima,not present,native,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera hybrida (Tate) Beier & Thulin,Roepera hybrida,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera kochii (Tate) Beier & Thulin,Roepera kochii,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera lobulata (Benth.) Beier & Thulin,Roepera lobulata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera retivalvis (Domin) Beier & Thulin,Roepera retivalvis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Roepera tetraptera (H.Eichler ex R.M.Barker) Beier & Thulin,Roepera tetraptera,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Tribulopis sessilis (Domin) H.Eichler,Tribulopis sessilis,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Tribulus adelacanthus R.M.Barker,Tribulus adelacanthus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Tribulus minutus Leichh. ex Benth.,Tribulus minutus,native,native,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zygophyllaceae
Amyema haematodes (O.Schwarz) Danser,Amyema haematodes,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Amyema pyriformis Barlow,Amyema pyriformis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Amyema seemeniana (K.Schum.) Danser,Amyema seemeniana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Amyema subcapitata Barlow,Amyema subcapitata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Amyema tridactyla Barlow,Amyema tridactyla,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Decaisnina biangulata (W.Fitzg.) Barlow,Decaisnina biangulata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Ileostylus micranthus (Hook.f.) Tiegh.,Ileostylus micranthus,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,Loranthaceae
Anacolosa papuana G.Schellenb.,Anacolosa papuana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Olacaceae
Olax aphylla R.Br.,Olax aphylla,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Olacaceae
Olax imbricata Roxb.,Olax imbricata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Olacaceae
Olax obcordata A.S.George,Olax obcordata,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Olacaceae
